repeat,moved_context_global_rows,moved_context_within_sam_rows,moved_molecular_rows,moved_both_rows,eligible_active_layers_for_molecular_permutation
1,79,63,47,79,7
2,78,64,47,79,7
3,79,61,45,79,7
4,78,63,44,78,7
5,76,62,47,78,7
6,79,62,48,79,7
7,78,61,52,79,7
8,79,63,49,79,7
9,78,59,43,79,7
10,78,61,46,79,7
11,78,61,47,79,7
12,77,63,49,78,7
13,76,60,45,77,7
14,78,62,50,79,7
15,77,61,50,78,7
16,76,62,48,77,7
17,77,59,46,78,7
18,77,65,47,79,7
19,78,63,35,79,7
20,77,62,48,78,7
21,78,62,46,78,7
22,77,64,48,78,7
23,78,64,50,78,7
24,78,63,47,79,7
25,78,63,40,78,7
26,76,63,47,79,7
27,79,58,49,79,7
28,77,59,46,78,7
29,79,63,44,79,7
30,78,61,44,78,7
31,79,61,51,79,7
32,79,63,48,79,7
33,79,57,46,79,7
34,77,61,48,79,7
35,78,59,49,79,7
36,79,61,48,79,7
37,79,62,39,79,7
38,77,63,48,79,7
39,79,62,46,79,7
40,78,64,46,78,7
41,76,58,44,79,7
42,79,62,48,79,7
43,79,60,47,79,7
44,79,59,49,79,7
45,77,59,50,78,7
46,76,61,49,77,7
47,77,62,49,77,7
48,78,64,48,79,7
49,76,60,47,77,7
50,79,61,44,79,7
51,77,58,50,77,7
52,78,59,35,79,7
53,76,64,51,79,7
54,79,60,49,79,7
55,79,63,45,79,7
56,79,60,42,79,7
57,76,63,43,77,7
58,78,64,51,79,7
59,77,57,51,78,7
60,79,68,48,79,7
61,79,61,45,79,7
62,79,61,50,79,7
63,79,63,51,79,7
64,78,55,46,79,7
65,75,59,49,76,7
66,77,67,50,79,7
67,78,66,51,79,7
68,77,61,51,78,7
69,76,60,38,78,7
70,79,58,45,79,7
71,77,60,46,77,7
72,78,63,42,79,7
73,74,62,52,78,7
74,79,63,48,79,7
75,75,63,48,79,7
76,77,62,39,78,7
77,77,61,48,78,7
78,79,58,47,79,7
79,78,60,48,79,7
80,78,62,46,78,7
81,77,59,47,78,7
82,79,65,35,79,7
83,77,62,48,77,7
84,78,59,47,78,7
85,76,62,50,79,7
86,77,60,47,79,7
87,79,65,38,79,7
88,79,59,47,79,7
89,78,64,47,78,7
90,79,61,38,79,7
91,78,58,48,78,7
92,78,61,48,78,7
93,77,67,51,77,7
94,79,62,50,79,7
95,79,65,49,79,7
96,78,64,34,78,7
97,78,58,49,79,7
98,78,61,50,78,7
99,77,58,52,77,7
100,77,58,51,79,7
