model,target,n,mae,rmse,r2,r
ElasticNet,pce,79,1.6671375982019834,3.311575347973801,0.532106823321938,0.7556335179808051
ElasticNet,voc,79,0.02360616989101573,0.04544199557241768,0.7376682885211214,0.8604370259169192
ElasticNet,jsc,79,1.1848206224671196,2.025929628561722,0.8693525767740945,0.9341742113725384
ElasticNet,ff,79,4.83404419753892,6.649844093087993,0.29530606362032796,0.7037889968838226
ExtraTrees,pce,79,1.6368234968493283,2.2193623060294057,0.7898478481798308,0.9034022137024565
ExtraTrees,voc,79,0.042872786031151515,0.060287577224152206,0.5382662022030251,0.7727397512896483
ExtraTrees,jsc,79,1.1275811378163751,1.4909783158272178,0.9292388648405043,0.9715043931443795
ExtraTrees,ff,79,3.7822393740800333,5.292857108135173,0.5535652966527111,0.7621700341407047
HistGB,pce,79,2.5507389913837493,3.2387409021690705,0.5524620769599806,0.7798549178228601
HistGB,voc,79,0.06205412238223162,0.07639202914214957,0.25863497348648345,0.6087958488968912
HistGB,jsc,79,1.5590027361780532,2.700162498226925,0.7679230869701983,0.8975276387660921
HistGB,ff,79,6.0305008483074385,7.400204485582592,0.1272998532758962,0.6097152861088905
RandomForest,pce,79,1.9645657175781361,2.3688777648971313,0.7605787284323238,0.9034043314217776
RandomForest,voc,79,0.043457021724126826,0.05860431988136364,0.5636899034876712,0.819742453335911
RandomForest,jsc,79,1.2700840277833298,1.9302046779944502,0.8814070521587626,0.9676039822039962
RandomForest,ff,79,4.706523168377339,6.568443686808038,0.31245271757792625,0.6727973196183911
FrontierSAMNet,pce,79,1.050921637523024,1.5928172786023633,0.8917546257376201,0.9445410523376963
FrontierSAMNet,voc,79,0.024398782190491894,0.036585166832125926,0.8299619631804724,0.9129268632295935
FrontierSAMNet,jsc,79,1.179090861144247,2.1580989158438726,0.8517499563744333,0.9243628496925866
FrontierSAMNet,ff,79,2.4413795189193537,3.2550362838650893,0.8311545833939535,0.9148255766198405
