anchor_rule,backbone_rule,spacer_rule,n,mean_pce,median_pce,min_pce,max_pce,high_fraction,low_fraction,x,y,z
Aryl P-acid,Other,Long/other,7,8.065238095238096,3.82,1.64,17.38,0.0,0.7142857142857143,1.0,3.0,3.0
Aryl P-acid,PACz core,Long/other,5,17.1881,17.4425,15.08,19.44,0.2,0.0,1.0,2.0,3.0
Other,Other,Long/other,22,6.309527777777777,5.44375,2.21,17.2,0.0,0.9545454545454546,2.0,3.0,3.0
P-acid,Other,Short C2,3,17.61,17.46,17.21,18.16,0.0,0.0,0.0,3.0,0.0
P-acid,Other,Short C4,10,13.495666666666668,17.35,1.81,19.290000000000003,0.3,0.3,0.0,3.0,2.0
P-acid,PACz core,Short C2,19,17.615855263157897,18.0125,12.46,19.895,0.3684210526315789,0.0,0.0,2.0,0.0
P-acid,PACz core,Short C3,10,17.70133333333333,18.11333333333333,13.54,19.396666666666665,0.4,0.0,0.0,2.0,1.0
P-acid,PACz core,Short C4,24,16.85290522787398,17.452361111111113,8.59,20.285,0.3333333333333333,0.08333333333333333,0.0,2.0,2.0
P-acid,Substituted PACz,Short C2,20,17.105008547008545,17.66,10.336666666666666,19.575000000000003,0.3,0.1,0.0,1.0,0.0
P-acid,Substituted PACz,Short C3,2,16.915000000000003,16.915000000000003,15.363333333333335,18.46666666666667,0.5,0.0,0.0,1.0,1.0
P-acid,Substituted PACz,Short C4,8,16.31373363095238,16.053267857142856,12.556666666666667,19.5,0.375,0.0,0.0,1.0,2.0
